"EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","JobInvolvement","PerformanceRating","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance"
61.0,27.0,"No","Travel_Rarely","Research & Development",15.0,4.0,"Medical","Male",3.0,"Research Scientist","Single",39020.0,1.0,22.0,0.0,"4",2.0,4.0,1.0,2.0,3.0,4.0,"3","2","2"
62.0,32.0,"No","Travel_Rarely","Research & Development",1.0,3.0,"Life Sciences","Male",3.0,"Research Scientist","Married",26620.0,1.0,11.0,1.0,"13",6.0,13.0,11.0,9.0,4.0,3.0,"3","2","3"
63.0,27.0,"No","Travel_Rarely","Research & Development",13.0,2.0,"Medical","Female",4.0,"Research Director","Single",28560.0,1.0,12.0,2.0,"5",5.0,5.0,0.0,4.0,4.0,3.0,"4","3","3"
64.0,31.0,"No","Travel_Rarely","Sales",24.0,3.0,"Life Sciences","Male",2.0,"Healthcare Representative","Divorced",10810.0,4.0,11.0,3.0,"13",4.0,7.0,1.0,7.0,4.0,3.0,"4","4","3"
65.0,32.0,"No","Travel_Rarely","Research & Development",7.0,3.0,"Technical Degree","Male",2.0,"Healthcare Representative","Single",24720.0,7.0,13.0,0.0,"10",2.0,7.0,0.0,7.0,3.0,3.0,"1","4","2"
66.0,28.0,"Yes","Travel_Rarely","Research & Development",9.0,4.0,"Medical","Male",1.0,"Sales Executive","Married",56730.0,5.0,14.0,1.0,"5",4.0,3.0,2.0,2.0,2.0,3.0,"1","4","2"
67.0,30.0,"No","Travel_Rarely","Research & Development",13.0,3.0,"Life Sciences","Female",4.0,"Research Director","Married",41970.0,1.0,13.0,0.0,"11",3.0,10.0,1.0,9.0,3.0,3.0,"4","4","3"
68.0,31.0,"No","Travel_Frequently","Research & Development",2.0,1.0,"Life Sciences","Female",1.0,"Manager","Married",97130.0,1.0,17.0,0.0,"10",5.0,10.0,8.0,9.0,2.0,3.0,"3","3","3"
69.0,39.0,"No","Travel_Frequently","Research & Development",19.0,4.0,"Medical","Female",1.0,"Research Scientist","Married",20620.0,1.0,13.0,0.0,"21",4.0,21.0,13.0,3.0,3.0,3.0,"3","4","3"
70.0,39.0,"Yes","Travel_Rarely","Research & Development",1.0,1.0,"Medical","Female",1.0,"Laboratory Technician","Married",42840.0,4.0,17.0,1.0,"12",0.0,1.0,0.0,0.0,3.0,3.0,"4","3","2"
71.0,33.0,"No","Travel_Frequently","Sales",4.0,2.0,"Life Sciences","Male",4.0,"Research Scientist","Single",47880.0,3.0,11.0,1.0,"9",0.0,7.0,0.0,1.0,3.0,3.0,"2","4","2"
72.0,47.0,"No","Travel_Rarely","Research & Development",4.0,3.0,"Life Sciences","Female",2.0,"Healthcare Representative","Married",59060.0,4.0,23.0,0.0,"21",4.0,3.0,1.0,1.0,4.0,4.0,"4","3","3"
73.0,43.0,"No","Travel_Frequently","Research & Development",14.0,3.0,"Medical","Female",5.0,"Research Director","Divorced",38860.0,1.0,17.0,2.0,"9",2.0,9.0,0.0,0.0,3.0,3.0,"3","3","4"
74.0,27.0,"No","Non-Travel","Research & Development",2.0,3.0,"Life Sciences","Male",1.0,"Research Director","Married",168230.0,0.0,17.0,0.0,"6",3.0,5.0,1.0,4.0,3.0,3.0,"3","2","3"
75.0,54.0,"No","Travel_Frequently","Research & Development",1.0,4.0,"Life Sciences","Male",2.0,"Research Scientist","Single",29330.0,3.0,12.0,2.0,"20",2.0,4.0,0.0,3.0,3.0,3.0,"4","3","2"
76.0,43.0,"No","Travel_Rarely","Research & Development",7.0,2.0,"Life Sciences","Female",2.0,"Manager","Married",65000.0,8.0,23.0,0.0,"10",3.0,1.0,0.0,0.0,3.0,4.0,"3","1","2"
77.0,45.0,"No","Travel_Rarely","Sales",3.0,1.0,"Marketing","Female",1.0,"Sales Executive","Married",171740.0,9.0,14.0,1.0,"12",6.0,10.0,9.0,8.0,3.0,3.0,"4","4","3"
78.0,40.0,"No","Travel_Rarely","Research & Development",2.0,4.0,"Other","Male",4.0,"Research Scientist","Married",50330.0,2.0,14.0,2.0,"6",6.0,4.0,0.0,2.0,3.0,3.0,"2","4","2"
79.0,29.0,"Yes","Travel_Rarely","Research & Development",29.0,3.0,"Medical","Female",1.0,"Research Scientist","Married",23070.0,1.0,13.0,1.0,"7",0.0,7.0,0.0,7.0,3.0,3.0,"2","1","2"
80.0,29.0,"No","Travel_Rarely","Human Resources",8.0,3.0,"Medical","Male",3.0,"Sales Representative","Single",25870.0,0.0,22.0,2.0,"4",3.0,3.0,2.0,2.0,3.0,4.0,"2","4","3"
81.0,30.0,"No","Travel_Rarely","Research & Development",10.0,3.0,"Life Sciences","Male",2.0,"Research Scientist","Divorced",55070.0,1.0,12.0,2.0,"10",2.0,10.0,1.0,2.0,2.0,3.0,"4","3","3"
82.0,27.0,"No","Travel_Rarely","Research & Development",11.0,2.0,"Medical","Male",1.0,"Manager","Married",43930.0,1.0,18.0,1.0,"8",2.0,8.0,0.0,7.0,2.0,3.0,"2","2","3"
83.0,37.0,"No","Travel_Rarely","Sales",1.0,4.0,"Life Sciences","Male",2.0,"Healthcare Representative","Divorced",133480.0,7.0,14.0,0.0,"8",4.0,6.0,0.0,4.0,3.0,3.0,"4","4","2"
84.0,38.0,"No","Travel_Rarely","Research & Development",28.0,4.0,"Medical","Male",1.0,"Laboratory Technician","Divorced",65830.0,0.0,12.0,0.0,"12",1.0,11.0,2.0,9.0,3.0,3.0,"3","4","3"
85.0,31.0,"No","Travel_Rarely","Research & Development",6.0,3.0,"Medical","Female",3.0,"Manager","Single",81030.0,1.0,15.0,1.0,"11",5.0,11.0,4.0,10.0,3.0,3.0,"3","4","NA"
86.0,29.0,"No","Travel_Rarely","Research & Development",3.0,4.0,"Life Sciences","Male",3.0,"Sales Executive","Divorced",39780.0,1.0,11.0,0.0,"7",0.0,7.0,1.0,7.0,3.0,3.0,"4","2","3"
87.0,35.0,"No","Travel_Rarely","Sales",16.0,2.0,"Technical Degree","Male",3.0,"Manager","Single",25440.0,0.0,13.0,1.0,"17",3.0,16.0,0.0,13.0,4.0,3.0,"3","2","3"
88.0,23.0,"No","Travel_Rarely","Research & Development",20.0,4.0,"Life Sciences","Male",1.0,"Manufacturing Director","Divorced",53990.0,1.0,23.0,0.0,"4",2.0,4.0,0.0,2.0,2.0,4.0,"3","4","2"
89.0,41.0,"No","Travel_Rarely","Research & Development",9.0,2.0,"Life Sciences","Female",1.0,"Laboratory Technician","Single",54870.0,6.0,19.0,2.0,"8",0.0,5.0,1.0,2.0,3.0,3.0,"4","2","3"
90.0,47.0,"No","Travel_Frequently","Sales",1.0,3.0,"Medical","Female",2.0,"Laboratory Technician","Single",68340.0,3.0,16.0,1.0,"5",2.0,0.0,0.0,0.0,4.0,3.0,"2","3","3"
91.0,42.0,"No","Travel_Rarely","Research & Development",3.0,4.0,"Life Sciences","Male",1.0,"Manager","Single",10910.0,2.0,22.0,0.0,"16",0.0,1.0,0.0,0.0,1.0,4.0,"1","4","3"
92.0,29.0,"No","Non-Travel","Sales",22.0,4.0,"Marketing","Male",2.0,"Human Resources","Married",57360.0,1.0,22.0,0.0,"4",1.0,4.0,0.0,2.0,2.0,4.0,"4","3","2"
93.0,42.0,"No","Travel_Rarely","Sales",7.0,4.0,"Medical","Male",3.0,"Research Scientist","Divorced",22260.0,0.0,12.0,1.0,"4",3.0,3.0,1.0,0.0,2.0,3.0,"3","3","3"
94.0,32.0,"No","Travel_Rarely","Research & Development",2.0,3.0,"Medical","Male",2.0,"Research Scientist","Married",57470.0,1.0,13.0,0.0,"8",0.0,8.0,0.0,7.0,3.0,3.0,"3","2","3"
95.0,48.0,"No","Travel_Rarely","Sales",13.0,4.0,"Medical","Male",4.0,"Sales Executive","Married",98540.0,3.0,16.0,1.0,"15",2.0,0.0,0.0,0.0,2.0,3.0,"1","3","1"
96.0,37.0,"No","Travel_Rarely","Research & Development",8.0,5.0,"Technical Degree","Male",2.0,"Manufacturing Director","Divorced",54670.0,4.0,12.0,0.0,"13",2.0,7.0,6.0,7.0,3.0,3.0,"3","1","3"
97.0,30.0,"No","Non-Travel","Sales",25.0,4.0,"Other","Male",1.0,"Healthcare Representative","Married",53800.0,7.0,21.0,1.0,"4",0.0,2.0,2.0,2.0,3.0,4.0,"4","3","4"
98.0,26.0,"No","Travel_Rarely","Sales",28.0,3.0,"Medical","Female",5.0,"Laboratory Technician","Married",51510.0,1.0,15.0,3.0,"8",3.0,8.0,7.0,7.0,3.0,3.0,"3","3","3"
99.0,42.0,"No","Travel_Rarely","Sales",2.0,2.0,"Medical","Female",1.0,"Laboratory Technician","Single",21330.0,3.0,13.0,2.0,"14",2.0,1.0,0.0,0.0,3.0,3.0,"1","4","3"
100.0,21.0,"Yes","Travel_Frequently","Research & Development",9.0,3.0,"Medical","Female",4.0,"Manufacturing Director","Single",178750.0,1.0,12.0,0.0,"3",5.0,3.0,1.0,2.0,2.0,3.0,"1","2","3"
101.0,36.0,"No","Non-Travel","Human Resources",28.0,3.0,"Human Resources","Male",2.0,"Laboratory Technician","Single",24320.0,4.0,22.0,0.0,"7",4.0,1.0,0.0,0.0,1.0,4.0,"4","4","3"
102.0,36.0,"No","Travel_Frequently","Research & Development",6.0,3.0,"Life Sciences","Female",2.0,"Research Scientist","Married",47710.0,4.0,13.0,1.0,"16",2.0,13.0,1.0,12.0,3.0,3.0,"1","4","3"
103.0,57.0,"No","Travel_Rarely","Research & Development",21.0,4.0,"Life Sciences","Male",5.0,"Research Scientist","Married",191610.0,2.0,18.0,0.0,"15",2.0,3.0,1.0,2.0,1.0,3.0,"4","3","3"
104.0,40.0,"No","Travel_Rarely","Research & Development",8.0,3.0,"Other","Male",2.0,"Sales Executive","Married",50870.0,3.0,14.0,1.0,"10",3.0,7.0,1.0,7.0,3.0,3.0,"4","3","3"
105.0,21.0,"No","Non-Travel","Research & Development",1.0,5.0,"Life Sciences","Female",2.0,"Manager","Single",28630.0,1.0,14.0,0.0,"3",2.0,3.0,2.0,2.0,1.0,3.0,"1","4","2"
106.0,33.0,"Yes","Travel_Rarely","Human Resources",28.0,2.0,"Human Resources","Female",5.0,"Manager","Single",55610.0,1.0,21.0,1.0,"1",3.0,1.0,0.0,0.0,1.0,4.0,"4","3","3"
107.0,37.0,"No","Travel_Rarely","Research & Development",5.0,3.0,"Life Sciences","Male",4.0,"Research Scientist","Married",21440.0,6.0,19.0,0.0,"17",3.0,5.0,0.0,3.0,4.0,3.0,"3","1","3"
108.0,46.0,"No","Non-Travel","Sales",2.0,4.0,"Marketing","Female",2.0,"Laboratory Technician","Married",30650.0,2.0,11.0,0.0,"7",3.0,1.0,0.0,0.0,3.0,3.0,"3","3","4"
109.0,41.0,"Yes","Travel_Frequently","Research & Development",16.0,1.0,"Medical","Female",1.0,"Research Scientist","Single",28100.0,1.0,11.0,0.0,"8",3.0,8.0,7.0,7.0,4.0,3.0,"1","2","3"
110.0,50.0,"No","Travel_Rarely","Research & Development",9.0,3.0,"Medical","Female",3.0,"Laboratory Technician","Single",98880.0,6.0,15.0,0.0,"20",2.0,4.0,1.0,3.0,3.0,3.0,"4","4","3"
111.0,40.0,"Yes","Travel_Rarely","Research & Development",8.0,3.0,"Medical","Female",1.0,"Healthcare Representative","Married",86280.0,2.0,20.0,0.0,"8",2.0,6.0,1.0,0.0,2.0,4.0,"3","3","3"
112.0,31.0,"No","Travel_Rarely","Research & Development",1.0,3.0,"Life Sciences","Male",4.0,"Human Resources","Single",28670.0,0.0,24.0,0.0,"3",5.0,2.0,2.0,2.0,3.0,4.0,"NA","2","3"
113.0,21.0,"Yes","Travel_Rarely","Human Resources",10.0,2.0,"Human Resources","Male",1.0,"Laboratory Technician","Single",53730.0,1.0,12.0,1.0,"1",2.0,1.0,0.0,0.0,3.0,3.0,"3","2","3"
114.0,29.0,"No","Travel_Rarely","Research & Development",1.0,3.0,"Life Sciences","Female",2.0,"Research Director","Single",66670.0,9.0,12.0,1.0,"6",6.0,3.0,1.0,2.0,4.0,3.0,"4","4","3"
115.0,35.0,"No","Travel_Rarely","Research & Development",29.0,3.0,"Life Sciences","Female",3.0,"Sales Executive","Single",50030.0,9.0,15.0,0.0,"10",2.0,1.0,0.0,0.0,3.0,3.0,"3","2","3"
116.0,27.0,"No","Travel_Rarely","Sales",2.0,3.0,"Life Sciences","Male",1.0,"Sales Executive","Divorced",23670.0,2.6948303347756775,12.0,1.0,"5",2.0,5.0,0.0,4.0,3.0,3.0,"4","2","3"
117.0,28.0,"No","Travel_Rarely","Research & Development",2.0,2.0,"Medical","Male",3.0,"Manager","Single",28580.0,1.0,12.0,0.0,"7",2.0,7.0,0.0,7.0,2.0,3.0,"2","4","3"
118.0,49.0,"No","Travel_Rarely","Sales",2.0,3.0,"Technical Degree","Male",2.0,"Manufacturing Director","Single",52040.0,8.0,14.0,1.0,"26",3.0,5.0,0.0,0.0,3.0,3.0,"2","3","3"
119.0,51.0,"No","Travel_Rarely","Research & Development",1.0,2.0,"Life Sciences","Male",1.0,"Sales Executive","Married",41050.0,4.0,22.0,1.0,"18",2.0,7.0,0.0,7.0,3.0,4.0,"3","4","2"
120.0,36.0,"No","Travel_Rarely","Sales",15.0,2.0,"Life Sciences","Male",1.0,"Sales Executive","Married",96790.0,4.0,12.0,0.0,"6",1.0,2.0,2.0,2.0,3.0,3.0,"4","3","3"
121.0,34.0,"Yes","Non-Travel","Research & Development",7.0,3.0,"Life Sciences","Male",1.0,"Sales Representative","Single",56170.0,8.0,25.0,1.0,"9",3.0,5.0,0.0,4.0,3.0,4.0,"1","4","2"
122.0,55.0,"No","Travel_Rarely","Sales",26.0,3.0,"Marketing","Male",1.0,"Laboratory Technician","Single",104480.0,2.0,13.0,0.0,"30",3.0,5.0,1.0,2.0,3.0,3.0,"3","4","3"
